fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230716 145856	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.116223628358639	0.698414451189456	1251	351	0.857866240873306	1
20230716 150158	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	50	TRUE	491	0.0661160112528887	0.514170637687493	44	782	0.855351148057167	2
20230716 150216	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	25	TRUE	491	0.205100165916883	0.773968914207944	1396	702	0.85751033107718	3
20230716 150254	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.104598319727374	0.640860394209449	953	503	0.857993493442882	4
20230716 150321	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	61	TRUE	491	0.091015253732985	0.930461972078774	1797	204	0.857825970374914	5
20230716 150333	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	15	TRUE	491	0.276025854780673	0.983786975317344	2460	970	0.857315936721969	6
20230716 150357	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	11	TRUE	491	0.263081536016616	0.80696659336536	660	581	0.856994935346405	7
20230716 150502	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	389	TRUE	491	0.0330932041719643	0.44769732644927	2754	304	0.857861439414239	8
20230716 150525	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	75	TRUE	491	0.157388487795106	0.35905233349622	1636	434	0.856697560177625	9
20230716 150539	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	34	TRUE	491	0.224965054371569	0.564691312708601	2945	217	0.857870786749264	10
20230716 150603	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	18	TRUE	491	0.181058361610412	0.656844644519151	847	952	0.857469586728842	11
20230716 150622	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	35	TRUE	491	0.14802203836538	0.540758145118889	206	91	0.858429001624003	12
20230716 150659	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	114	TRUE	491	0.0546969264102518	0.874502146444865	2135	628	0.857939180874279	13
20230716 150714	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	51	TRUE	491	0.24173042918148	0.338447100637131	2336	854	0.856386034617089	14
20230716 150722	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	26	TRUE	491	0.292594282283244	0.851081690160208	1994	42	0.85760413612281	15
20230716 151217	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	578	TRUE	491	0.0131791640716983	0.40367732415616	484	710	0.856552118833877	16
20230716 151237	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	43	TRUE	491	0.109356828942994	0.578284349708965	536	78	0.858452757803214	17
20230716 151320	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	199	TRUE	491	0.0425843189451241	0.537944941864973	1260	67	0.858059632514328	18
20230716 151346	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	23	TRUE	491	0.12644914742985	0.587868278496116	161	163	0.857878067043143	19
20230716 151355	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	49	TRUE	491	0.181885025265436	0.565091884862311	560	27	0.858226625647122	20
20230716 151408	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	28	TRUE	491	0.118571933122971	0.86333664381698	0	70	0.858118722029624	21
20230716 151422	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.287625882999034	0.395537786351186	328	73	0.855896412910158	22
20230716 151608	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	385	TRUE	491	0.0168238119338907	0.547047352383852	429	91	0.858420143855073	23
20230716 151720	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	195	TRUE	491	0.0309846029023515	0.582937800597583	852	123	0.857935225270839	24
20230716 151738	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	66	TRUE	491	0.0937268691180802	0.566825760004329	330	60	0.858387024799075	25
20230716 151756	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.102081164987455	0.629710098430228	528	79	0.858187617713078	26
20230716 151814	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	29	TRUE	491	0.166673872368235	0.550582448205406	426	108	0.857963262413437	27
20230716 151825	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	41	TRUE	491	0.132227656120687	0.544620305168939	5	33	0.858473075556161	28
20230716 151840	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	177	TRUE	491	0.107006946830109	0.530061717446263	2316	16	0.858185452465652	29
20230716 152342	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3918	TRUE	491	0.00526708531075098	0.492829830671533	1106	16	0.858620322612114	30
20230716 152617	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2306	TRUE	491	0.00852245898658232	0.507497953231695	2981	16	0.858486153448924	31
20230716 152743	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1072	TRUE	491	0.0166460677188459	0.447694276859078	366	16	0.858900463487341	32
20230716 152925	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1662	TRUE	491	0.0154072120772008	0.3280241449369	230	16	0.858448025307307	33
20230716 152954	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	29	TRUE	491	0.110920044424997	0.901579334242151	960	803	0.857420720466183	34
20230716 153053	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	818	TRUE	491	0.014095096615828	0.871946671406865	1	16	0.858609267037561	35
20230716 153349	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1148	TRUE	491	0.00978638714722574	0.435513273732707	0	56	0.858644374622946	36
20230716 153510	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1165	TRUE	491	0.0131314530236275	0.946059338048069	3000	16	0.858078060363102	37
20230716 153941	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	125	TRUE	491	0.0138145464004092	0.997687742415846	0	419	0.856286961512575	38
20230716 154158	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1987	TRUE	491	0.00621796949499604	0.73257149867219	138	16	0.858730075039222	39
20230716 154306	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1005	TRUE	491	0.017461808644616	0.80249712094385	2139	16	0.858117639503426	40
20230716 154325	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	59	TRUE	491	0.119267648097195	0.900236978266175	2964	570	0.857858163731903	41
20230716 154332	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	60	TRUE	491	0.201146635385914	0.888509202970028	3000	16	0.857923350415789	42
20230716 154431	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	853	TRUE	491	0.0203209400337226	0.548751153911327	158	16	0.858852092412789	43
20230716 154437	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	51	TRUE	491	0.2267058285038	0.998436424672048	6	16	0.857591479822519	44
20230716 154453	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	203	TRUE	491	0.107463080485516	0.400478805973205	107	16	0.858668108141686	45
20230716 154523	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	132	TRUE	491	0.112901652874485	0.420600892428465	2	80	0.857185709372344	46
20230716 154533	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	97	TRUE	491	0.131004226968766	0.579096981224687	217	16	0.85848083511295	47
20230716 154645	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	658	TRUE	491	0.019503018702786	0.559172717913377	434	34	0.858637971237906	48
20230716 154847	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1874	TRUE	491	0.0102573153607331	0.517423698848581	319	16	0.858879269015598	49
20230716 154903	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	78	TRUE	491	0.175228547116014	0.387610054122781	2812	56	0.857011825302607	50
20230716 154918	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	190	TRUE	491	0.104417691812547	0.341840623188039	331	16	0.858256534130831	51
20230716 155032	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	718	TRUE	491	0.0178516564431228	0.464941430877128	96	22	0.858918008676627	52
20230716 155043	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	113	TRUE	491	0.106283636076399	0.81620391422402	155	17	0.858480208125445	53
20230716 155436	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3368	TRUE	491	0.00528514748116505	0.424462069562317	32	18	0.858896913030561	54
20230716 155501	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	306	TRUE	491	0.0412676841832027	0.566897037758564	42	16	0.858769287698395	55
20230716 155949	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1855	TRUE	491	0.00505154085550774	0.455490602992043	5	40	0.858946174846877	56
20230716 160237	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2515	TRUE	491	0.00705996167478017	0.439084471706611	646	16	0.858747765071844	57
20230716 160315	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	62	TRUE	491	0.0658793005323925	0.68225590808211	1214	268	0.857971865479273	58
20230716 160327	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	26	TRUE	491	0.285461225384696	0.638198979094733	2910	304	0.857791477179199	59
20230716 160653	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1459	TRUE	491	0.00538987775049976	0.783339523329055	10	47	0.858733743358471	60
20230716 161007	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1397	TRUE	491	0.00519520479824121	0.906734272987486	63	43	0.85861429891643	61
20230716 161027	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	133	TRUE	491	0.119448439687269	0.440056384115373	704	43	0.857866376682081	62
20230716 161602	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	875	TRUE	491	0.00523266797787603	0.909053860347929	16	131	0.85822184632907	63
20230716 162257	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	736	TRUE	491	0.00522322361765997	0.774226257842484	6	183	0.858097826332728	64
20230716 162305	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	63	TRUE	491	0.150460920288775	0.598192033899995	95	16	0.85859553110123	65
20230716 162329	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	314	TRUE	491	0.0440203010658562	0.454897568859586	31	16	0.858768165689985	66
20230716 162336	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	25	TRUE	491	0.170697255251059	0.728709890284362	3	16	0.85796203358569	67
20230716 162614	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2275	TRUE	491	0.0071702281304322	0.61196037356831	64	16	0.858815807331038	68
20230716 163003	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2101	TRUE	491	0.00513011916113898	0.507168967591503	22	31	0.858941241609512	69
20230716 163021	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	147	TRUE	491	0.0591265821566299	0.99947032210091	228	28	0.858421492444821	70
20230716 163214	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	562	TRUE	491	0.0163507384003816	0.697835325832821	2999	555	0.858109955415574	71
20230716 163230	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	37	TRUE	491	0.19809060300321	0.802382558575275	2454	258	0.857728915531853	72
20230716 164200	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	737	TRUE	491	0.00538684734444164	0.529262037146838	3	229	0.858091329449972	73
20230716 164500	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	675	TRUE	491	0.00808054328203436	0.99935621466839	1604	87	0.857890888532242	74
20230716 164542	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	26	TRUE	491	0.146275957386188	0.554304586667655	20	283	0.856456322525645	75
20230716 165105	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1733	TRUE	491	0.00534511617781151	0.657839252602698	2996	230	0.85814913273541	76
20230716 165521	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2046	TRUE	491	0.00516463824827272	0.484560186041552	131	39	0.858932174261385	77
20230716 165857	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3118	TRUE	491	0.00574365644869511	0.452456628554292	523	17	0.858762230467171	78
20230716 170428	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1821	TRUE	491	0.00529528678702131	0.701740183276844	2990	323	0.858179854947159	79
20230716 170731	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2622	TRUE	491	0.00507420401528566	0.796408331535797	988	16	0.858200089586933	80
20230716 170806	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	508	TRUE	491	0.032330060470174	0.688510347273896	2	16	0.858678852089674	81
20230716 171226	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3935	TRUE	491	0.00507590609836065	0.571616258818798	2584	16	0.858407172700131	82
20230716 171238	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	26	TRUE	491	0.29991219907791	0.795847530433712	2969	209	0.857123067281059	83
20230716 171303	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	84	TRUE	491	0.0857700205728597	0.640405610698132	2806	590	0.858001445866626	84
20230716 171626	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	938	TRUE	491	0.00963726910523715	0.524061096994925	2352	77	0.858123919671328	85
20230716 171643	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	83	TRUE	491	0.0589475454646207	0.874947312826528	2	36	0.858387706899374	86
20230716 172132	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1229	TRUE	491	0.00545946835271149	0.857636886985153	2380	263	0.858052443971978	87
20230716 172310	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	28	TRUE	491	0.0689400502162028	0.757430366018567	5	555	0.856002621160548	88
20230716 172400	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	314	TRUE	491	0.0354155814591012	0.607407290947671	3000	495	0.858105314237185	89
20230716 172413	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	44	TRUE	491	0.159699828323206	0.659584728833001	2999	505	0.857776830071696	90
20230716 172434	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	246	TRUE	491	0.0602713605018336	0.921530018226884	2461	17	0.858120790357601	91
20230716 172911	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	4816	TRUE	491	0.0053798827102051	0.322173856859708	932	16	0.858261507911067	92
