Feature	Gain	Cover	Frequency
Vehicle_Damage	0.545913408502703	0.0666332561736502	0.0100421120829284
Previously_Insured	0.263668011051936	0.0944864301065014	0.00680272108843537
Age	0.0681201774608397	0.178266886830399	0.167800453514739
Policy_Sales_Channel	0.0623743317104811	0.201560577490656	0.14868804664723
Region_Code	0.0238247034951882	0.15125515486762	0.145124716553288
Annual_Premium	0.0124665004220195	0.128286644855047	0.20926465824425
Vintage	0.0110372753805677	0.076959863359469	0.209588597343699
Vehicle_Age	0.00881217817466184	0.0616943898660024	0.0583090379008746
Gender	0.00320041867940327	0.0276949615589058	0.0421120829284095
Driving_License	0.000582995122200252	0.0131618348917488	0.00226757369614512
