fecha	objective	metric	is_unbalance	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ganancia	iteracion
20230719 144538	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	89	TRUE	41191	0.094128697858614	0.514871859409322	1937	711	0.857606847780499	1
20230719 144549	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	40	TRUE	41191	0.235076082778396	0.436389997885271	2819	632	0.856350177321407	2
20230719 144555	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	12	TRUE	41191	0.26278773748425	0.57851273654378	961	278	0.856662443505393	3
20230719 144828	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	89	TRUE	41191	0.094128697858614	0.514871859409322	1937	711	0.857606847780499	4
20230719 144834	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	40	TRUE	41191	0.235076082778396	0.436389997885271	2819	632	0.856350177321407	5
20230719 144845	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	12	TRUE	41191	0.26278773748425	0.57851273654378	961	278	0.856662443505393	6
20230719 144859	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	38	TRUE	41191	0.149091154108683	0.635861252299219	439	892	0.85647637129763	7
20230719 144915	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	89	TRUE	41191	0.0650859747645154	0.708878655369335	2469	930	0.857958877524553	8
20230719 144944	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	195	TRUE	41191	0.0254874274408212	0.844347825986915	644	161	0.857330315521169	9
20230719 144952	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	56	TRUE	41191	0.206834601574155	0.305549516333849	809	244	0.855122003662269	10
20230719 145000	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	46	TRUE	41191	0.122840158397157	0.964273337869963	1800	707	0.857483486999358	11
20230719 145009	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	52	TRUE	41191	0.113087409089421	0.681568659713957	1461	418	0.857840162972638	12
20230719 145023	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	133	TRUE	41191	0.048699296896666	0.74950850509922	2152	95	0.85794046987191	13
20230719 145029	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	38	TRUE	41191	0.294633478485048	0.542859445321665	1573	805	0.85593583026088	14
20230719 145129	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	254	TRUE	41191	0.0205202752920013	0.423415652516996	341	493	0.854650009079753	15
20230719 145135	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	15	TRUE	41191	0.280966351128372	0.870167496940121	2269	387	0.857600436218576	16
20230719 145142	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	25	TRUE	41191	0.186210166611854	0.81070905089	1290	998	0.857713778162352	17
20230719 145148	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	48	TRUE	41191	0.16367182228787	0.37820813977014	2690	540	0.856709178463036	18
20230719 145154	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	15	TRUE	41191	0.219853361690984	0.92088637760462	72	53	0.858182844322804	19
20230719 145200	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	63	TRUE	41191	0.220182993370645	0.879267782456264	975	16	0.857821120054764	20
20230719 145206	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	5	TRUE	41191	0.2998474757822	0.998062257186792	0	259	0.854700220842698	21
20230719 145215	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	24	TRUE	41191	0.170160020612778	0.914472567660045	912	497	0.857373077859464	22
20230719 145225	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	67	TRUE	41191	0.0906952822387797	0.754266444287809	1929	420	0.857707239953247	23
20230719 145239	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	229	TRUE	41191	0.0637810606432491	0.710065292269908	1046	16	0.858271648976787	24
20230719 145250	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	230	TRUE	41191	0.0718435282688322	0.683660175782166	2797	16	0.858170268116336	25
20230719 145302	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	12	TRUE	41191	0.222749667423441	0.9141959706866	363	1012	0.855606505857953	26
20230719 145308	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	86	TRUE	41191	0.155001781167708	0.822568822885083	0	16	0.857972673188577	27
20230719 145324	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	170	TRUE	41191	0.0470745706613207	0.705112774142247	2272	236	0.858029051085569	28
20230719 145330	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	77	TRUE	41191	0.141118179513917	0.924419819120204	85	17	0.858187363741777	29
20230719 145336	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	89	TRUE	41191	0.157310525818387	0.715593900419868	2030	16	0.857696612021383	30
20230719 145341	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	52	TRUE	41191	0.180067785170788	0.923813609278466	2136	16	0.857988951289818	31
20230719 145410	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	543	TRUE	41191	0.0231316713860167	0.686036538542426	354	17	0.858619232423736	32
20230719 145419	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	179	TRUE	41191	0.0851338130164874	0.784154202253865	63	16	0.858319102479357	33
20230719 145556	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3021	TRUE	41191	0.00529434094962654	0.73479558250746	5	16	0.858517395446802	34
20230719 145742	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2851	TRUE	41191	0.00522105687520226	0.626655804561889	1962	18	0.858292045400691	35
20230719 145814	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	804	TRUE	41191	0.0167156373408489	0.957183135844156	2737	17	0.857810840486173	36
20230719 145841	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	297	TRUE	41191	0.0277021225298198	0.723062861762327	2997	984	0.858075647190962	37
20230719 145956	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	950	TRUE	41191	0.00502062850157679	0.674317458741387	159	56	0.858461466007473	38
20230719 150006	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	89	TRUE	41191	0.0808055707718842	0.816830550325816	2905	717	0.858001165917275	39
20230719 150201	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3011	TRUE	41191	0.00519713876717164	0.543825225007896	2999	21	0.858251042032587	40
20230719 150329	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1970	TRUE	41191	0.00800812061928453	0.565940313747412	45	16	0.858652857639503	41
20230719 150351	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	283	TRUE	41191	0.0299511842404343	0.680845002013938	2958	341	0.858085233539221	42
20230719 150358	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	53	TRUE	41191	0.165076633451977	0.724792603061809	2998	1024	0.857744734065863	43
20230719 150551	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1512	TRUE	41191	0.00503647540539332	0.680990624436895	2399	688	0.857972279395817	44
20230719 150557	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	27	TRUE	41191	0.286159291506017	0.685095798235464	2995	398	0.857125169560526	45
20230719 150603	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	25	TRUE	41191	0.200514114387174	0.907907610499519	2723	485	0.857385017551294	46
20230719 150735	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	953	TRUE	41191	0.00557218252604198	0.648576591069483	1723	1004	0.857961506322747	47
20230719 150819	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	951	TRUE	41191	0.0155525675193179	0.466636142817635	1	16	0.858736560643586	48
20230719 150911	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1534	TRUE	41191	0.0122027542920229	0.346726857114208	0	16	0.85832550926684	49
20230719 150923	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	181	TRUE	41191	0.0425862400535014	0.484820057400559	2	34	0.858702121878381	50
20230719 150930	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	53	TRUE	41191	0.162380381899828	0.459764718661689	2316	988	0.857302250488053	51
20230719 151001	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	400	TRUE	41191	0.0121968453266967	0.91275632099379	441	43	0.858077502940646	52
20230719 151006	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	18	TRUE	41191	0.298548362955306	0.999059453472932	2999	60	0.857081998504366	53
20230719 151148	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1098	TRUE	41191	0.00502976071753448	0.878589815199842	2139	983	0.857932591398373	54
20230719 151210	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	585	TRUE	41191	0.0277008973315282	0.453502570600337	1358	16	0.858398764326851	55
20230719 151218	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	39	TRUE	41191	0.130298055949584	0.741592429314792	1665	344	0.857663558020777	56
20230719 151242	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	303	TRUE	41191	0.0253067003865076	0.56517583379039	3000	177	0.857986575767186	57
20230719 151428	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1523	TRUE	41191	0.00515645216077429	0.784798257122353	3000	814	0.857976237951708	58
20230719 151436	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	39	TRUE	41191	0.167098358217208	0.716766695731135	1553	599	0.857586193466046	59
20230719 151452	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	398	TRUE	41191	0.0471401157545584	0.45319603208287	2434	16	0.858264828843139	60
20230719 151707	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3051	TRUE	41191	0.005031641677417	0.301627539973603	3000	768	0.857231016443131	61
20230719 151722	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	364	TRUE	41191	0.0371602930041719	0.491775029590823	123	16	0.858563909858229	62
20230719 151904	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1411	TRUE	41191	0.00521755374882311	0.457171671494658	8	36	0.858813801607529	63
20230719 151931	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	294	TRUE	41191	0.0226535379647529	0.463833834574392	1	80	0.858544601805669	64
20230719 151947	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	292	TRUE	41191	0.0372539992230076	0.429756451897903	0	41	0.857933037122746	65
20230719 152020	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	865	TRUE	41191	0.0170091182067008	0.359026111151444	2857	16	0.8577954852499	66
20230719 152029	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	102	TRUE	41191	0.0896840885896609	0.508180266904226	2999	1002	0.85772221964114	67
20230719 152200	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2723	TRUE	41191	0.00526714991508937	0.532517014056427	4	16	0.858754984328135	68
20230719 152339	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2279	TRUE	41191	0.0052827017467572	0.559749736299161	366	28	0.858605044695569	69
20230719 152513	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1506	TRUE	41191	0.00505189168189164	0.480334091968423	1740	49	0.858157552560725	70
20230719 152523	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	125	TRUE	41191	0.0515933732889361	0.546430871342783	116	39	0.858561229472266	71
20230719 152947	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	295	TRUE	41191	0.0053202799816964	0.739731199431317	3	1024	0.855977107445277	72
20230719 152956	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	27	TRUE	41191	0.264465222458051	0.758571716045978	1	16	0.857386365619666	73
20230719 153121	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1554	TRUE	41191	0.0076744682111461	0.356022874031911	2995	1024	0.857199605122011	74
20230719 153300	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1484	TRUE	41191	0.00572286700823152	0.611086856016261	2998	1024	0.857995973920739	75
20230719 153419	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	992	TRUE	41191	0.00598808121197553	0.999483493376898	3000	1023	0.857663565576257	76
20230719 153455	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	494	TRUE	41191	0.017720539119023	0.830608513039537	2994	1024	0.85796689060136	77
20230719 153607	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2107	TRUE	41191	0.00727205075355745	0.607870588501017	8	16	0.8586396812961	78
20230719 153613	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	19	TRUE	41191	0.299988036257934	0.812321415161906	2803	917	0.857527991304669	79
20230719 153753	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2835	TRUE	41191	0.00533040844681535	0.592748986344684	969	16	0.858376452953846	80
20230719 153915	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1267	TRUE	41191	0.00527826510360987	0.521653896949154	3	59	0.858738409466999	81
20230719 153929	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	297	TRUE	41191	0.0505856660702711	0.801561894429462	2995	16	0.858131068612126	82
20230719 154117	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3116	TRUE	41191	0.00512450833314168	0.640503081701325	664	16	0.858396070313954	83
20230719 154259	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	954	TRUE	41191	0.00522107372276684	0.508629386077973	8	123	0.85845785898143	84
20230719 154454	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1518	TRUE	41191	0.00500510081560427	0.609316477318949	2184	543	0.857953205552859	85
20230719 154607	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	943	TRUE	41191	0.00754797213469655	0.54914846194696	2086	1024	0.857949666051961	86
20230719 154749	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	990	TRUE	41191	0.00512368820525713	0.815120131865502	1738	779	0.85789731146656	87
20230719 154931	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1398	TRUE	41191	0.00530414646954317	0.942070865180516	2998	791	0.857879655305024	88
20230719 154935	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	34	TRUE	41191	0.229760903733143	0.457453890619506	3	16	0.857636011297577	89
20230719 154943	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	123	TRUE	41191	0.110702290125374	0.610392442779092	2999	17	0.858156801403203	90
20230719 154949	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	49	TRUE	41191	0.299316802906989	0.300236573511618	2866	1024	0.856221987603608	91
20230719 155130	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	2197	TRUE	41191	0.00534872741558161	0.888957819609829	2996	26	0.857843787305739	92
20230719 155313	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1091	TRUE	41191	0.00527942895253363	0.860189659456569	2128	601	0.85793977029414	93
20230719 155320	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	98	TRUE	41191	0.122269415631276	0.534051873413856	2287	25	0.857953029394013	94
20230719 155502	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1658	TRUE	41191	0.00517032031459935	0.477637001548279	2997	807	0.857984215876163	95
20230719 155513	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	223	TRUE	41191	0.0573012440636974	0.890322188388426	0	16	0.858214902620648	96
20230719 155652	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	985	TRUE	41191	0.00511627515016882	0.928649389738953	1865	323	0.857929041617795	97
20230719 155908	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	4552	TRUE	41191	0.00582029782971634	0.30040942933416	1942	16	0.857940898921938	98
20230719 160100	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	3414	TRUE	41191	0.00511949349218937	0.356339687041984	1686	16	0.857893818251303	99
20230719 160255	binary	auc	TRUE	TRUE	TRUE	FALSE	-100	-1	0	0	0	1798	TRUE	41191	0.00505416556708105	0.575937843461959	2995	731	0.857992657460245	100
