fecha	alpha	lambda	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	gamma	subsample	nrounds	ganancia	iteracion
20230719 144501	0	0	auto	depthwise	256	0	7.16421936789185	0.8982124343951	0.616548726699936	653	302	35	0.372404618763539	392	0.846977453338478	1
20230719 145120	0	0	auto	depthwise	256	0	7.16421936789185	0.8982124343951	0.616548726699936	653	302	35	0.372404618763539	392	0.846977453338478	2
20230719 145143	0	0	auto	depthwise	256	0	7.16421936789185	0.540128238665348	0.751801042018148	566	729	5	0.613545713640633	10	0.853640419039979	3
20230719 145219	0	0	auto	depthwise	256	0	7.16421936789185	0.467534725701844	0.828076960922529	729	541	51	0.633635042744572	138	0.853283467713429	4
20230719 145309	0	0	auto	depthwise	256	0	7.16421936789185	0.285516184593725	0.554820301189708	21	492	58	0.926040442107478	239	0.855742011656827	5
20230719 145416	0	0	auto	depthwise	256	0	7.16421936789185	0.336318409524392	0.368805029724414	670	152	59	0.558021187302074	338	0.853062470616125	6
20230719 145500	0	0	auto	depthwise	256	0	7.16421936789185	0.250065120057843	0.229340004160379	280	782	95	0.853181180937099	185	0.852983489047143	7
20230719 145553	0	0	auto	depthwise	256	0	7.16421936789185	0.612382920098607	0.595317886901709	444	705	70	0.39448152246041	257	0.852093566979956	8
20230719 145629	0	0	auto	depthwise	256	0	7.16421936789185	0.76122675738472	0.487523269622276	540	556	25	0.777962991058303	133	0.853126777894802	9
20230719 145720	0	0	auto	depthwise	256	0	7.16421936789185	0.34072318984603	0.854976139714321	973	609	19	0.576862480462296	211	0.853033395818861	10
20230719 145804	0	0	auto	depthwise	256	0	7.16421936789185	0.69112856323336	0.257653000857681	180	101	44	0.340749529503228	191	0.852112774215842	11
20230719 145944	0	0	auto	depthwise	256	0	7.16421936789185	0.0981102494202787	0.887233221911204	394	272	76	0.506255847431021	508	0.854413281248877	12
20230719 150020	0	0	auto	depthwise	256	0	7.16421936789185	0.658731789413432	0.274420185394896	369	391	89	0.709748202199989	135	0.851401613297897	13
20230719 150100	0	0	auto	depthwise	256	0	7.16421936789185	0.406903408486396	0.993935683160089	162	818	38	0.737628735812905	167	0.855599626508295	14
